date,church,prayer,bible,church service,rep
2017-04-01,94.0,13.0,46.0,1.0,2.0
2017-05-01,75.0,15.0,42.0,1.0,2.0
2017-06-01,75.0,13.0,41.0,1.0,2.0
2017-07-01,77.0,12.0,43.0,1.0,2.0
2017-08-01,77.0,13.0,43.0,1.0,2.0
2017-09-01,75.0,14.0,45.0,1.0,2.0
2017-10-01,78.0,12.0,41.0,1.0,2.0
2017-11-01,82.0,13.0,44.0,1.0,2.0
2017-12-01,86.0,13.0,43.0,1.0,2.0
2018-01-01,75.0,13.0,46.0,1.0,2.0
2018-02-01,80.0,13.0,46.0,1.0,2.0
2018-03-01,84.0,13.0,46.0,1.0,2.0
2018-04-01,86.0,13.0,46.0,1.0,2.0
2018-05-01,69.0,14.0,42.0,1.0,2.0
2018-06-01,75.0,12.0,43.0,1.0,2.0
2018-07-01,81.0,13.0,42.0,1.0,2.0
2018-08-01,78.0,13.0,44.0,1.0,2.0
2018-09-01,77.0,13.0,44.0,1.0,2.0
2018-10-01,76.0,13.0,43.0,1.0,2.0
2018-11-01,72.0,13.0,40.0,1.0,2.0
2018-12-01,83.0,13.0,41.0,2.0,2.0
2019-01-01,75.0,13.0,47.0,1.0,2.0
2019-02-01,75.0,13.0,48.0,1.0,2.0
2019-03-01,84.0,13.0,42.0,1.0,2.0
2019-04-01,98.0,14.0,46.0,1.0,2.0
2019-05-01,74.0,15.0,43.0,1.0,2.0
2019-06-01,76.0,13.0,41.0,1.0,2.0
2019-07-01,73.0,12.0,41.0,1.0,2.0
2019-08-01,72.0,13.0,39.0,1.0,2.0
2019-09-01,76.0,13.0,42.0,1.0,2.0
2019-10-01,75.0,14.0,43.0,1.0,2.0
2019-11-01,70.0,13.0,42.0,1.0,2.0
2019-12-01,86.0,13.0,41.0,1.0,2.0
2020-01-01,74.0,14.0,47.0,1.0,2.0
2020-02-01,76.0,14.0,45.0,1.0,2.0
2020-03-01,83.0,17.0,48.0,1.0,2.0
2020-04-01,80.0,18.0,51.0,2.0,2.0
2020-05-01,65.0,16.0,45.0,1.0,2.0
2020-06-01,68.0,14.0,49.0,1.0,2.0
2020-07-01,61.0,13.0,44.0,1.0,2.0
2020-08-01,63.0,15.0,44.0,1.0,2.0
2020-09-01,59.0,16.0,44.0,1.0,2.0
2020-10-01,61.0,14.0,43.0,1.0,2.0
2020-11-01,57.0,15.0,41.0,1.0,2.0
2020-12-01,64.0,15.0,42.0,1.0,2.0
2021-01-01,61.0,15.0,49.0,1.0,2.0
2021-02-01,67.0,14.0,46.0,1.0,2.0
2021-03-01,63.0,14.0,41.0,1.0,2.0
2021-04-01,71.0,16.0,42.0,1.0,2.0
2021-05-01,64.0,15.0,42.0,1.0,2.0
2021-06-01,65.0,12.0,41.0,1.0,2.0
2021-07-01,64.0,12.0,41.0,1.0,2.0
2021-08-01,66.0,14.0,43.0,1.0,2.0
2021-09-01,65.0,14.0,45.0,1.0,2.0
2021-10-01,68.0,14.0,42.0,1.0,2.0
2021-11-01,63.0,16.0,43.0,1.0,2.0
2021-12-01,73.0,14.0,42.0,1.0,2.0
2022-01-01,71.0,15.0,51.0,1.0,2.0
2022-02-01,70.0,14.0,51.0,1.0,2.0
2022-03-01,80.0,15.0,49.0,1.0,2.0
2022-04-01,81.0,17.0,49.0,1.0,2.0
2022-05-01,76.0,14.0,48.0,1.0,2.0
2022-06-01,72.0,14.0,45.0,1.0,2.0
2022-07-01,73.0,14.0,47.0,1.0,2.0
2022-08-01,71.0,15.0,47.0,1.0,2.0
2022-09-01,65.0,14.0,47.0,1.0,2.0
2022-10-01,71.0,14.0,48.0,1.0,2.0
2022-11-01,65.0,16.0,44.0,1.0,2.0
2022-12-01,71.0,15.0,47.0,1.0,2.0
2023-01-01,72.0,16.0,51.0,1.0,2.0
2023-02-01,76.0,16.0,53.0,1.0,2.0
2023-03-01,71.0,19.0,52.0,1.0,2.0
2023-04-01,83.0,20.0,56.0,1.0,2.0
2023-05-01,72.0,17.0,53.0,1.0,2.0
