date,prayer,astrology
2004-01-01,41,47
2004-02-01,43,36
2004-03-01,46,36
2004-04-01,48,36
2004-05-01,49,34
2004-06-01,39,38
2004-07-01,39,37
2004-08-01,38,36
2004-09-01,48,37
2004-10-01,55,36
2004-11-01,60,37
2004-12-01,49,33
2005-01-01,47,38
2005-02-01,48,39
2005-03-01,48,33
2005-04-01,53,32
2005-05-01,51,33
2005-06-01,40,34
2005-07-01,39,38
2005-08-01,40,35
2005-09-01,49,33
2005-10-01,50,33
2005-11-01,50,35
2005-12-01,46,34
2006-01-01,44,38
2006-02-01,47,33
2006-03-01,46,32
2006-04-01,50,32
2006-05-01,47,32
2006-06-01,39,32
2006-07-01,40,35
2006-08-01,41,33
2006-09-01,49,30
2006-10-01,48,31
2006-11-01,49,30
2006-12-01,44,32
2007-01-01,44,32
2007-02-01,44,32
2007-03-01,43,30
2007-04-01,48,29
2007-05-01,49,29
2007-06-01,39,28
2007-07-01,40,30
2007-08-01,42,31
2007-09-01,50,28
2007-10-01,46,27
2007-11-01,52,28
2007-12-01,45,29
2008-01-01,45,32
2008-02-01,46,30
2008-03-01,46,26
2008-04-01,51,25
2008-05-01,46,27
2008-06-01,40,27
2008-07-01,41,26
2008-08-01,41,28
2008-09-01,49,26
2008-10-01,47,25
2008-11-01,53,26
2008-12-01,46,31
2009-01-01,51,30
2009-02-01,47,25
2009-03-01,47,24
2009-04-01,46,22
2009-05-01,50,24
2009-06-01,42,25
2009-07-01,41,25
2009-08-01,46,24
2009-09-01,52,24
2009-10-01,47,24
2009-11-01,54,22
2009-12-01,46,25
2010-01-01,47,27
2010-02-01,48,27
2010-03-01,50,24
2010-04-01,62,24
2010-05-01,55,23
2010-06-01,43,25
2010-07-01,42,25
2010-08-01,50,23
2010-09-01,48,22
2010-10-01,48,22
2010-11-01,51,22
2010-12-01,47,23
2011-01-01,53,51
2011-02-01,52,25
2011-03-01,55,24
2011-04-01,54,22
2011-05-01,56,22
2011-06-01,48,23
2011-07-01,52,23
2011-08-01,59,22
2011-09-01,52,23
2011-10-01,53,22
2011-11-01,55,24
2011-12-01,53,24
2012-01-01,53,27
2012-02-01,56,23
2012-03-01,54,22
2012-04-01,54,22
2012-05-01,57,22
2012-06-01,47,24
2012-07-01,52,24
2012-08-01,57,24
2012-09-01,55,23
2012-10-01,50,23
2012-11-01,54,22
2012-12-01,57,22
2013-01-01,50,22
2013-02-01,54,23
2013-03-01,58,21
2013-04-01,52,20
2013-05-01,54,21
2013-06-01,48,21
2013-07-01,54,22
2013-08-01,52,22
2013-09-01,53,20
2013-10-01,52,20
2013-11-01,56,20
2013-12-01,49,21
2014-01-01,51,22
2014-02-01,52,20
2014-03-01,52,19
2014-04-01,55,20
2014-05-01,55,21
2014-06-01,51,20
2014-07-01,54,22
2014-08-01,52,21
2014-09-01,54,20
2014-10-01,52,19
2014-11-01,57,17
2014-12-01,54,18
2015-01-01,53,19
2015-02-01,56,18
2015-03-01,56,19
2015-04-01,56,19
2015-05-01,54,18
2015-06-01,56,19
2015-07-01,53,20
2015-08-01,55,19
2015-09-01,63,19
2015-10-01,55,17
2015-11-01,57,17
2015-12-01,58,18
2016-01-01,60,18
2016-02-01,59,17
2016-03-01,61,17
2016-04-01,61,16
2016-05-01,63,17
2016-06-01,61,17
2016-07-01,61,16
2016-08-01,57,17
2016-09-01,63,21
2016-10-01,57,17
2016-11-01,60,15
2016-12-01,53,16
2017-01-01,64,16
2017-02-01,64,16
2017-03-01,58,15
2017-04-01,59,14
2017-05-01,67,14
2017-06-01,59,16
2017-07-01,53,18
2017-08-01,60,18
2017-09-01,62,14
2017-10-01,55,14
2017-11-01,60,17
2017-12-01,59,18
2018-01-01,59,18
2018-02-01,60,16
2018-03-01,61,16
