date,prayer,astrology
2018-04-01,60,16
2018-05-01,64,17
2018-06-01,57,16
2018-07-01,58,23
2018-08-01,60,20
2018-09-01,61,17
2018-10-01,59,16
2018-11-01,59,17
2018-12-01,60,18
2019-01-01,60,20
2019-02-01,60,18
2019-03-01,61,18
2019-04-01,65,17
2019-05-01,70,18
2019-06-01,60,19
2019-07-01,54,19
2019-08-01,61,20
2019-09-01,60,18
2019-10-01,62,18
2019-11-01,60,17
2019-12-01,57,19
2020-01-01,63,21
2020-02-01,62,20
2020-03-01,76,18
2020-04-01,84,18
2020-05-01,75,20
2020-06-01,64,22
2020-07-01,61,23
2020-08-01,67,20
2020-09-01,72,20
2020-10-01,66,21
2020-11-01,67,23
2020-12-01,70,30
2021-01-01,69,28
2021-02-01,64,24
2021-03-01,63,22
2021-04-01,73,22
2021-05-01,69,23
2021-06-01,56,24
2021-07-01,57,22
2021-08-01,64,22
2021-09-01,64,19
2021-10-01,62,21
2021-11-01,72,22
2021-12-01,66,22
2022-01-01,67,24
2022-02-01,65,23
2022-03-01,70,22
2022-04-01,76,22
2022-05-01,66,21
2022-06-01,62,20
2022-07-01,64,22
2022-08-01,67,21
2022-09-01,65,20
2022-10-01,66,20
2022-11-01,71,19
2022-12-01,69,20
2023-01-01,73,21
2023-02-01,73,20
2023-03-01,86,20
2023-04-01,90,19
2023-05-01,78,19
2023-06-01,75,18
2023-07-01,70,19
2023-08-01,71,18
2023-09-01,74,18
2023-10-01,77,17
2023-11-01,77,15
2023-12-01,78,18
2024-01-01,78,20
2024-02-01,71,17
2024-03-01,94,17
2024-04-01,79,18
2024-05-01,72,17
2024-06-01,65,16
2024-07-01,66,18
2024-08-01,74,17
2024-09-01,71,17
2024-10-01,73,17
2024-11-01,77,17
2024-12-01,74,17
2025-01-01,83,17
2025-02-01,75,16
2025-03-01,100,17
2025-04-01,78,16
2025-05-01,74,15
2025-06-01,72,18
2025-07-01,80,27
2025-08-01,80,20
2025-09-01,87,16
2025-10-01,81,15
2025-11-01,81,21
2025-12-01,82,23
2026-01-01,82,24
2026-02-01,98,24
2026-03-01,98,27
2026-04-01,86,24
2026-05-01,83,25
2026-06-01,72,29
2026-07-01,71,25
